Begin train
finished SVM: SVMdraw
finished SVM: SVMzero
finished SVM: SVMone
finished SVM: SVMtwo
finished SVM: SVMthree
finished SVM: SVMfour
finished SVM: SVMfive
finished SVM: SVMsix
finished SVM: SVMseven
finished SVM: SVMeight
finished SVM: SVMnine
finished SVM: SVMten
finished SVM: SVMeleven
finished SVM: SVMtwelve
finished SVM: SVMthirteen
finished SVM: SVMfourteen
finished SVM: SVMfifteen
finished SVM: SVMsixteen
Begin test
112 draw eight
113 draw eight
114 draw eight
115 draw eight
116 draw eight
117 draw eight
118 draw eight
119 draw eight
120 draw eight
121 draw eight
122 draw eight
123 draw eight
124 draw eight
125 draw eight
126 draw eight
127 draw eight
128 draw eight
129 draw eight
130 draw eight
131 draw eight
132 draw eight
133 draw eight
134 draw eight
135 draw eight
136 draw eight
137 draw eight
138 draw eight
139 draw eight
140 draw eight
141 draw eight
142 draw eight
143 draw eight
144 draw eight
145 draw eight
146 draw eight
147 draw eight
148 draw eight
149 draw eight
150 draw eight
151 draw eight
152 draw eight
153 draw eight
154 draw eight
155 draw eight
156 draw eight
157 draw eight
158 draw eight
159 draw eight
160 draw eight
161 draw eight
162 draw eight
163 draw eight
164 draw eight
165 draw eight
166 draw eight
167 draw eight
168 draw eight
169 draw eight
170 draw eleven
171 draw eleven
172 draw eleven
173 draw eleven
174 draw eleven
175 draw eleven
176 draw eleven
177 draw eleven
178 draw eleven
179 draw eleven
180 draw eleven
181 draw eleven
182 draw eleven
183 draw eleven
184 draw eleven
185 draw eleven
186 draw eleven
187 draw eleven
188 draw eleven
189 draw eleven
190 draw eleven
191 draw eleven
192 draw eleven
193 draw eleven
194 draw eleven
195 draw eleven
196 draw eleven
197 draw eleven
198 draw eleven
199 draw eleven
200 draw eleven
201 draw eleven
202 draw eleven
203 draw eleven
204 draw eleven
205 draw eleven
206 draw eleven
207 draw eleven
208 draw eleven
209 draw eleven
210 draw eleven
211 draw eleven
212 draw eleven
213 draw eleven
214 draw eleven
215 draw eleven
216 draw eleven
217 draw eleven
218 draw eleven
219 draw eleven
220 draw eleven
221 draw eleven
222 draw eleven
223 draw eleven
224 draw eleven
225 draw eleven
226 draw eleven
227 draw eleven
228 draw eleven
229 draw eleven
230 draw eleven
231 draw eleven
232 draw eleven
233 draw eleven
234 draw eleven
235 draw eleven
236 draw eleven
237 draw eleven
238 draw eleven
239 draw eleven
240 draw eleven
241 draw eleven
242 draw eleven
243 draw eleven
244 draw eleven
245 draw eleven
246 draw eleven
247 draw eleven
248 draw eleven
249 draw eleven
250 draw eleven
251 draw eleven
252 draw eleven
253 draw eleven
254 draw eleven
255 draw eleven
256 draw eleven
257 draw eleven
258 draw eleven
259 draw eleven
260 draw eleven
261 draw eleven
262 draw eleven
263 draw eleven
264 draw eleven
265 draw eleven
266 draw eleven
267 draw eleven
